"firstday","weighted_ILIpercent"
2017-09-24,1.79261
2017-10-01,1.91763
2017-10-08,2.04769
2017-10-15,2.02153
2017-10-22,2.23701
2017-10-29,2.94144
2017-11-05,3.31967
2017-11-12,3.92209
2017-11-19,4.11395
2017-11-26,4.61822
2017-12-03,5.14474
2017-12-10,7.99198
2017-12-17,11.6106
2017-12-24,10.4245
2018-01-07,11.0059
2018-01-14,11.5045
2018-01-21,11.716
2018-01-28,12.7142
2018-02-04,12.5047
2018-02-11,11.3711
2018-02-18,9.56616
2018-02-25,7.26319
2018-03-04,5.35006
2018-03-11,4.27347
2018-03-18,3.35348
2018-03-25,2.83427
2018-04-01,2.95336
2018-04-08,2.49171
2018-04-15,2.13115
2018-04-22,2.12088
2018-04-29,2.03449
2018-05-06,1.98637
2018-05-13,1.92456
2018-05-20,1.54811
2018-05-27,1.71159
2018-06-03,1.52038
2018-06-10,1.41077
2018-06-17,1.42627
2018-06-24,1.25356
2018-07-01,1.4386
2018-07-08,1.13421
2018-07-15,1.18297
2018-07-22,0.977369
2018-07-29,0.931847
2018-08-05,0.982752
2018-08-12,1.19503
2018-08-19,0.995902
2018-08-26,1.31735
2018-09-02,1.26283
2018-09-09,1.78633
2018-09-16,1.8517
2018-09-23,1.78941
2018-09-30,2.05765
2018-10-07,2.28816
2018-10-14,2.00975
2018-10-21,2.16075
2018-10-28,2.52527
2018-11-04,2.79139
2018-11-11,2.98967
2018-11-18,3.32955
2018-11-25,3.63767
2018-12-02,3.39675
2018-12-09,3.34086
2018-12-16,3.85029
2018-12-23,4.62906
2018-12-30,6.04089
2019-01-06,4.91464
2019-01-13,4.3825
2019-01-20,5.11485
2019-01-27,6.47652
2019-02-03,8.17457
2019-02-10,9.80356
2019-02-17,10.0847
2019-02-24,9.40721
2019-03-03,9.18188
2019-03-10,8.24588
2019-03-17,7.28845
2019-03-24,5.49805
2019-03-31,4.54206
2019-04-07,4.01324
2019-04-14,3.47919
2019-04-21,3.0511
2019-04-28,2.47303
2019-05-05,2.29233
2019-05-12,2.21298
2019-05-19,2.24984
2019-05-26,2.47883
2019-06-02,1.93588
2019-06-09,1.92629
2019-06-16,1.9284
2019-06-23,1.67062
2019-06-30,1.60484
2019-07-07,1.51519
2019-07-14,1.37937
2019-07-21,1.204
2019-07-28,1.35089
2019-08-04,1.20033
2019-08-11,1.07901
2019-08-18,0.925983
2019-08-25,1.28484
2019-09-01,1.77937
2019-09-08,1.84024
2019-09-15,1.97188
2019-09-22,1.81368
2019-09-29,2.01778
2019-10-06,2.1699
2019-10-13,2.54586
2019-10-20,2.65452
2019-10-27,3.18499
2019-11-03,3.72909
2019-11-10,4.6946
2019-11-17,5.0121
2019-11-24,6.33439
2019-12-01,6.9234
2019-12-08,5.82737
2019-12-15,7.71245
2019-12-22,10.1455
2019-12-29,13.4026
